Setor,Data,Disponibilidade_Real,Desempenho_Real,Qualidade_Real,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Real,CapacidadeInstalada_Real,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Real,HorasParadas_Real,HorasReais_Real,DescartesCaixas_Real,DescartesTampas_Real,DescartesEmbalagens_Real,Refugo_Real,SegundaLinha_Real
IMPRESSÃO,02/09/2019,100,121.0,100,121,-352500.0,2050000,121.0,1697500.0,244463.45329249618,0.0,88,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,03/09/2019,54,32.0,100,17,1272000.0,590000,17.0,3430000.0,1568000.0,0.0,90,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,09/09/2019,100,75.0,100,75,850000.0,2580000,75.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,10/09/2019,100,65.0,100,65,863298.0,1630000,65.0,2493298.0,244463.45329249618,0.0,18,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,11/09/2019,100,69.0,100,69,590340.0,1340000,69.0,1930340.0,244463.45329249618,0.0,1,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,12/09/2019,100,118.0,99,117,-180347.0,1200000,118.0,1019653.0,244463.45329249618,0.0,46,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,13/09/2019,54,151.0,99,80,-228800.0,680000,81.0,840000.0,388800.0,0.0,84,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,16/09/2019,100,47.0,99,46,1830000.0,1600000,47.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,17/09/2019,100,50.0,100,49,1730000.0,1700000,50.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,19/09/2019,100,47.0,99,47,1312729.0,1160000,47.0,2472729.0,244463.45329249618,0.0,65,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,20/09/2019,100,74.0,100,74,890000.0,2540000,74.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,24/09/2019,100,69.0,99,69,964288.0,2140000,69.0,3104288.0,244463.45329249618,0.0,8,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,25/09/2019,100,29.0,100,29,2430000.0,1000000,29.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,26/09/2019,100,39.0,100,39,2080000.0,1350000,39.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,30/09/2019,100,58.0,99,57,989805.0,1340000,58.0,2329805.0,244463.45329249618,0.0,63,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,01/10/2019,100,12.0,100,12,3030000.0,400000,12.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,02/10/2019,100,62.0,100,62,1310000.0,2120000,62.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,04/10/2019,100,36.0,100,35,2210000.0,1220000,36.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,07/10/2019,100,47.0,100,46,1830000.0,1600000,47.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,08/10/2019,100,27.0,99,27,1511116.0,560000,27.0,2071116.0,244463.45329249618,0.0,47,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,09/10/2019,100,71.0,100,71,990000.0,2440000,71.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,10/10/2019,100,68.0,99,67,936180.0,1950000,68.0,2886180.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,15/10/2019,100,44.0,100,44,1910000.0,1520000,44.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,16/10/2019,100,167.0,99,165,-560000.0,1400000,167.0,840000.0,244463.45329249618,0.0,0,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,17/10/2019,100,87.0,100,87,285688.0,1980000,87.0,2265688.0,244463.45329249618,0.0,31,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,18/10/2019,100,47.0,100,46,1830000.0,1600000,47.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,21/10/2019,100,52.0,100,52,1640000.0,1790000,52.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,23/10/2019,5,987.0,99,50,-1069437.0,1190000,51.0,2344277.0,2223714.0,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,24/10/2019,100,57.0,99,57,1235861.0,1660000,57.0,2895861.0,244463.45329249618,0.0,58,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,30/10/2019,100,46.0,99,46,1615216.0,1370000,46.0,2985216.0,244463.45329249618,0.0,21,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,04/11/2019,100,78.0,100,78,760000.0,2670000,78.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,05/11/2019,100,62.0,100,62,1290000.0,2140000,62.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,06/11/2019,100,65.0,99,65,869102.0,1620000,65.0,2489102.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,11/11/2019,100,77.0,100,76,800000.0,2630000,77.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,12/11/2019,100,31.0,100,31,2370000.0,1060000,31.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,18/11/2019,100,35.0,100,35,2230000.0,1200000,35.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,19/11/2019,100,62.0,99,61,861918.0,1420000,62.0,2281918.0,244463.45329249618,0.0,53,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,20/11/2019,100,57.0,100,57,1470000.0,1960000,57.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,21/11/2019,19,123.0,100,24,-153600.0,820000,24.0,3430000.0,2763600.0,0.0,48,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,22/11/2019,100,24.0,99,24,2610000.0,820000,24.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,25/11/2019,100,71.0,99,71,818044.0,2040000,71.0,2858044.0,244463.45329249618,0.0,30,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,26/11/2019,100,62.0,100,61,1320000.0,2110000,62.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,28/11/2019,100,65.0,99,65,1011366.0,1920000,65.0,2931366.0,244463.45329249618,0.0,58,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,29/11/2019,100,48.0,100,47,1800000.0,1630000,48.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,02/12/2019,100,67.0,100,67,1026134.0,2100000,67.0,3126134.0,244463.45329249618,0.0,30,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,03/12/2019,100,43.0,99,42,1970000.0,1460000,43.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,05/12/2019,5,476.0,100,24,-663600.0,840000,24.0,3430000.0,3253600.0,0.0,98,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,06/12/2019,43,35.0,99,15,950000.0,520000,15.0,3430000.0,1960000.0,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,09/12/2019,100,57.0,99,57,1158561.0,1560000,57.0,2718561.0,244463.45329249618,0.0,59,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,10/12/2019,100,1167.0,100,1161,-10688229.0,11690000,1167.0,1001771.0,244463.45329249618,0.0,88,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,11/12/2019,5,1253.0,100,64,-2033600.0,2210000,64.0,3430000.0,3253600.0,0.0,98,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,12/12/2019,100,81.0,99,80,467680.0,1950000,81.0,2417680.0,244463.45329249618,0.0,68,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,17/12/2019,100,57.0,99,57,1164928.0,1550000,57.0,2714928.0,244463.45329249618,0.0,43,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,19/12/2019,100,63.0,99,63,939308.0,1620000,63.0,2559308.0,244463.45329249618,0.0,92,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,06/01/2020,100,77.0,100,77,541779.0,1830000,77.0,2371779.0,244463.45329249618,0.0,42,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,07/01/2020,100,62.0,100,62,861918.0,1420000,62.0,2281918.0,244463.45329249618,0.0,53,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,08/01/2020,100,179.0,99,177,-660000.0,1500000,179.0,840000.0,244463.45329249618,0.0,0,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,09/01/2020,77,61.0,99,46,1026400.0,1600000,47.0,3430000.0,803600.0,0.0,48,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,13/01/2020,77,41.0,99,31,1556400.0,1070000,31.0,3430000.0,803600.0,0.0,48,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,14/01/2020,100,100.0,100,99,1173.0,3000000,100.0,3001173.0,244463.45329249618,0.0,22,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
IMPRESSÃO,20/01/2020,57,65.0,100,37,670400.0,1270000,37.0,3430000.0,1489600.0,0.0,78,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
IMPRESSÃO,21/01/2020,100,81.0,100,81,650000.0,2780000,81.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,23/01/2020,100,104.0,100,104,-116054.0,2880000,104.0,2763946.0,244463.45329249618,0.0,56,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,24/01/2020,100,26.0,100,26,2540000.0,890000,26.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,27/01/2020,100,56.0,100,56,1500000.0,1930000,56.0,3430000.0,244463.45329249618,0.0,50,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
IMPRESSÃO,30/01/2020,100,60.0,100,60,1050278.0,1560000,60.0,2610278.0,244463.45329249618,0.0,74,3,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
