idCadastrar_Produtos,Setor_Produtor,Codigo_do_Produto,Descricao_do_Produto,PesoRefungo,PesoEmbalagem
161,CORTE DE BOBINAS,2271,57 mm X 22 m c/ 48 un - L1,2.665,0
162,CORTE DE BOBINAS,2272,57 mm X 22 m c/ 48 un - L2,2.665,0
163,CORTE DE BOBINAS,2281,57 mm X 30 m c/ 36 un - L1,2.746,0
164,CORTE DE BOBINAS,2282,57 mm X 30 m c/ 36 un - L2,2.746,0
165,CORTE DE BOBINAS,2291,57 mm X 40 m c/ 30 un - L1,3.021,0
166,CORTE DE BOBINAS,2292,57 mm X 40 m c/ 30 un -  L2,3.021,0
167,CORTE DE BOBINAS,2301,57 mm X 50 m c/ 36 un - L1,4.5777,0
168,CORTE DE BOBINAS,2302,57 mm X 50 m c/ 36 un - L2,4.5777,0
169,CORTE DE BOBINAS,2311,57 mm X 80 m c/ 24 un - L1,5.1576,0
170,CORTE DE BOBINAS,2312,57 mm X 80 m c/ 24 un - L2,5.1576,0
171,CORTE DE BOBINAS,2321,57 mm X 100 m c/ 18 un - L1,4.3038,0
172,CORTE DE BOBINAS,2322,57 mm X 100 m c/ 18 un - L2,4.3038,0
173,CORTE DE BOBINAS,2331,57 mm X 150 m c/ 12 un - L1,4.5789,0
174,CORTE DE BOBINAS,2332,57 mm X 150 m c/ 12 un - L2,4.5789,0
175,CORTE DE BOBINAS,2341,57 mm X 200 m c/ 07 un - L1,3.5618,0
176,CORTE DE BOBINAS,2342,57 mm X 200 m c/ 07 un - L2,3.5618,0
177,CORTE DE BOBINAS,2351,57 mm X 270 m c/ 06 un - L1,4.3842,0
178,CORTE DE BOBINAS,2352,57 mm X 270 m c/ 06 un - L2,4.3842,0
179,CORTE DE BOBINAS,2361,57 mm X 300 m c/ 06 un - L1,4.5744,0
180,CORTE DE BOBINAS,2362,57 mm X 300 m c/ 06 un - L2,4.5744,0
181,CORTE DE BOBINAS,2371,57 mm X 360 m c/ 06 un - L1,5.3748,0
182,CORTE DE BOBINAS,2372,57 mm X 360 m c/ 06 un - L2,5.3748,0
183,CORTE DE BOBINAS,2381,76 mm X 20 m c/ 56 un - L1,4.287,0
184,CORTE DE BOBINAS,2382,76 mm X 20 m c/ 56 un - L2,4.287,0
185,CORTE DE BOBINAS,2391,76 mm X 30 m c/ 30 un - L1,3.2727,0
186,CORTE DE BOBINAS,2392,76 mm X 30 m c/ 30 un - L2,3.2727,0
187,CORTE DE BOBINAS,2401,76 mm X 40 m c/ 30 un - L1,4.3638,0
188,CORTE DE BOBINAS,2402,76 mm X 40 m c/ 30 un - L2,4.3638,0
189,CORTE DE BOBINAS,2411,76 mm X 80 m c/ 24 un - L1,4.6548,0
190,CORTE DE BOBINAS,2412,76 mm X 80 m c/ 24 un - L2,4.6548,0
191,CORTE DE BOBINAS,2421,76 mm X 110 m c/ 12 un - L1,5.052,0
192,CORTE DE BOBINAS,2422,76 mm X 110 m c/ 12 un - L2,5.052,0
193,CORTE DE BOBINAS,2431,76 mm X 360 m c/ 04 un - L1,5.236,0
194,CORTE DE BOBINAS,2432,76 mm X 360 m c/ 04 un - L2,5.236,0
195,CORTE DE BOBINAS,2491,80 mm X 20 m c/ 56 un - L1,4.287,0
196,CORTE DE BOBINAS,2492,80 mm X 20 m c/ 56 un - L2,4.287,0
197,CORTE DE BOBINAS,2501,80 mm X 30 m c/ 30 un - L1,3.2727,0
198,CORTE DE BOBINAS,2502,80 mm X 30 m c/ 30 un - L2,3.2727,0
199,CORTE DE BOBINAS,2511,80 mm X 40 m c/ 30 un - L1,4.3638,0
200,CORTE DE BOBINAS,2512,80 mm X 40 m c/ 30 un - L2,4.3638,0
201,CORTE DE BOBINAS,2521,80 mm X 80 m c/ 24 un - L1,4.6548,0
202,CORTE DE BOBINAS,2522,80 mm X 80 m c/ 24 un - L2,4.6548,0
203,CORTE DE BOBINAS,2531,80 mm X 110 m c/ 12 un - L1,5.052,0
204,CORTE DE BOBINAS,2532,80 mm X 110 m c/ 12 un - L2,5.052,0
205,CORTE DE BOBINAS,2541,80 mm X 360 m c/ 04 un - L1,5.236,0
206,CORTE DE BOBINAS,2542,80 mm X 360 m c/ 04 un - L2,5.236,0
207,CORTE DE BOBINAS,2881,57 mm X 20 m c/ 84un -  L1,4.666,0
208,CORTE DE BOBINAS,2882,57 mm X 20 m c/ 84un - L2,4.666,0
209,CORTE DE BOBINAS,101,57 mm X 30 m OFFSET - L1,2.52,0
210,CORTE DE BOBINAS,102,57 mm X 30 m OFFSET - L2,2.52,0
211,CORTE DE A4,31,A4 MULTIUSO 5R - L1,11.67,0.0411
212,CORTE DE A4,32,A4 MULTIUSO 5R - L2,11.67,0.0411
213,CORTE DE A4,41,A4 SULFITE 5R - L1,11,0.0411
214,CORTE DE A4,42,A4 SULFITE 5R - L2,11,0.0411
215,CORTE DE A4,51,A3 SULFITE 5R - L1,23.34,0
216,CORTE DE A4,52,A3 SULFITE 5R - L2,23.34,0
217,CORTE DE A4,61,A4 MICRO SERRILHADO 5R - L1,11.67,0.0411
218,CORTE DE A4,62,A4 MICRO SERRILHADO 5R - L2,11.67,0.0411
219,CORTE DE A4,71,A4 REALZINHO 25R - L1,11,0.08
220,CORTE DE A4,72,A4 REALZINHO 25R - L2,11,0.08
221,CORTE DE A4,81,A4 PAPER + 5R - L1,11,0
222,CORTE DE A4,82,A4 PAPER + 5R - L2,11,0
223,CORTE DE A4,691,A4 TOP 5R - L1,11,0.0411
224,CORTE DE A4,692,A4 TOP 5R - L2,11,0.0411
225,CORTE DE A4,701,A4 OCEANO 5R - L1,11,0.0411
226,CORTE DE A4,702,A4 OCEANO 5R - L2,11,0.0411
227,CORTE DE A4,1291,A4 SULFITE 10R - L1,22,0.08
228,CORTE DE A4,1292,A4 SULFITE 10R - L2,22,0.08
229,CORTE DE A4,1311,A4 LIDERPEL 5R - L1,11,0.0411
230,CORTE DE A4,1312,A4 LIDERPEL 5R - L2,11,0.0411
231,CORTE DE A4,1321,A4 HPAPERL 5R - L1,11,0.0411
232,CORTE DE A4,1322,A4 HPAPERL 5R - L2,11,0.0411
233,CORTE DE BOBINAS,21,57 mm X 30 m OFFSET - L1,2.52,0
234,CORTE DE BOBINAS,22,57 mm X 30 m OFFSET - L2,2.52,0
235,CORTE DE BOBINAS,91,57 mm X 16 m c/ 70 un - L1,2.95,0
236,CORTE DE BOBINAS,92,57 mm X 16 m c/ 70 un - L2,2.95,0
