idCadastrar_Capacidade,Codigo_do_Produto,Descricao,Producao_Dia,Setor,Producao_Hora,Vigencia,Status
38,500,Multiuso com 500 Folhas ,140,CORTE DE A4,16,27/04/2019,Inativo
39,501,Sulfite com 500 Folhas ,157,5,CORTE DE A4,18,27/04/2019,Inativo
40,502,Microserrilhado com 500 Folhas ,90,125,CORTE DE A4,10,3,27/04/2019,Inativo
41,450,Reciclado com 450 Folhas ,87,5,CORTE DE A4,10,27/04/2019,Inativo
42,100,Realzinho com 100 Folhas ,140,CORTE DE A4,16,27/04/2019,Inativo
43,5710,Bobina de 57mm por 10 metros ,35,CORTE DE BOBINAS,4,27/04/2019,Inativo
44,5716,Bobina de 57mm por 16 metros ,43,75,CORTE DE BOBINAS,5,27/04/2019,Inativo
45,5720,Bobina de 57mm por 20 metros ,43,75,CORTE DE BOBINAS,5,27/04/2019,Inativo
46,5730,Bobina de 57mm por 30 metros ,52,5,CORTE DE BOBINAS,6,27/04/2019,Inativo
47,5740,Bobina de 57mm por 40 metros ,61,25,CORTE DE BOBINAS,7,27/04/2019,Inativo
48,5750,Bobina de 57mm por 50 metros ,63,CORTE DE BOBINAS,7,2,27/04/2019,Inativo
49,5780,Bobina de 57mm por 80 metros ,82,25,CORTE DE BOBINAS,9,4,27/04/2019,Inativo
50,57100,Bobina de 57mm por 100 metros ,83,125,CORTE DE BOBINAS,9,5,27/04/2019,Inativo
51,57150,Bobina de 57mm por 150 metros ,101,5,CORTE DE BOBINAS,11,6,27/04/2019,Inativo
52,57200,Bobina de 57mm por 200 metros ,113,75,CORTE DE BOBINAS,13,27/04/2019,Inativo
53,57270,Bobina de 57mm por 270 metros ,118,125,CORTE DE BOBINAS,13,5,27/04/2019,Inativo
54,57300,Bobina de 57mm por 300 metros ,131,25,CORTE DE BOBINAS,15,27/04/2019,Inativo
55,57360,Bobina de 57mm por 360 metros ,131,25,CORTE DE BOBINAS,15,27/04/2019,Inativo
56,11040,Bobina de 110mm por 40 metros ,52,5,CORTE DE BOBINAS,6,27/04/2019,Inativo
57,8020,Bobina de 80mm por 20 metros ,43,75,CORTE DE BOBINAS,5,27/04/2019,Inativo
58,8030,Bobina de 80mm por 30 metros ,52,5,CORTE DE BOBINAS,6,27/04/2019,Inativo
59,8040,Bobina de 80mm por 40 metros ,78,75,CORTE DE BOBINAS,9,27/04/2019,Inativo
60,8080,Bobina de 80mm por 80 metros ,87,5,CORTE DE BOBINAS,10,27/04/2019,Inativo
61,80110,Bobina de 80mm por 110 metros ,87,5,CORTE DE BOBINAS,10,27/04/2019,Inativo
62,80360,Bobina de 80mm por 360 metros ,130,025,CORTE DE BOBINAS,14,86,27/04/2019,Inativo
63,7630,Bobina de 76mm por 30 metros ,52,5,CORTE DE BOBINAS,6,27/04/2019,Inativo
64,1,Impressão de 01 Cor ,34300,IMPRESSÃO,3920,27/04/2019,Inativo
65,2,Impressão de 02 Cores,16975,IMPRESSÃO,1940,27/04/2019,Inativo
66,3,Impressão de 03 Cores ,8400,IMPRESSÃO,960,27/04/2019,Inativo
67,7640,Bobina de 76mm por 30 metros ,77,CORTE DE BOBINAS,8,8,27/04/2019,Inativo
68,999,Lançado em Descartes Automatico,0,IMPRESSÃO,0,27/04/2019,Ativo
69,998,Lançado em Descartes Automatico,0,CORTE DE BOBINAS,0,27/04/2019,Ativo
70,997,Lançado em Descartes Automatico,0,CORTE DE A4,0,27/04/2019,Inativo
71,993,Lançado como dia Util,0,IMPRESSÃO,0,,
72,992,Lançado como dia Util,0,CORTE DE BOBINAS,0,,
73,991,Lançado como dia Util,0,CORTE DE A4,0,27/04/2019,Inativo
74,501,Sulfite com 500 Folhas ,140,096,CORTE DE A4,15,92,01/08/2020,Inativo
75,5716,Bobina de 57mm por 16 metros ,40,0048,CORTE DE BOBINAS,4,546,01/08/2020,Inativo
76,5720,Bobina de 57mm por 20 metros ,47,08,CORTE DE BOBINAS,5,35,01/08/2020,Inativo
77,5730,Bobina de 57mm por 30 metros ,55,088,CORTE DE BOBINAS,6,26,01/08/2020,Inativo
78,5740,Bobina de 57mm por 40 metros ,65,384,CORTE DE BOBINAS,7,43,01/08/2020,Inativo
79,5750,Bobina de 57mm por 50 metros ,75,68,CORTE DE BOBINAS,8,6,01/08/2020,Inativo
80,5780,Bobina de 57mm por 80 metros ,83,072,CORTE DE BOBINAS,9,44,01/08/2020,Inativo
81,5720,Bobina de 57mm por 20 metros ,74,8,CORTE DE BOBINAS,8,5,08/08/2020,Inativo
82,5730,CALCULADORA,75,152,CORTE DE BOBINAS,8,54,08/08/2020,Inativo
83,5740,Bobina de 57mm por 40 metros ,76,56,CORTE DE BOBINAS,8,7,08/08/2020,Inativo
84,5750,Bobina de 57mm por 50 metros ,79,2,CORTE DE BOBINAS,9,08/08/2020,Inativo
85,8030,Bobina de 80mm por 30 metros ,77,CORTE DE BOBINAS,8,75,08/08/2020,Inativo
86,8040,Bobina de 80mm por 40 metros ,80,08,CORTE DE BOBINAS,9,1,08/08/2020,Inativo
87,504,PAPEL A4 ITABEL ,140,096,CORTE DE A4,15,92,01/08/2020,Inativo
88,505,PAPEL A4 TOP,140,096,CORTE DE A4,15,92,01/08/2020,Inativo
89,505,PAPEL A4 TOP,140,096,CORTE DE A4,15,92,01/08/2020,Inativo
90,507,CAIXAS DE 2º LINHA,140,096,CORTE DE A4,15,92,01/08/2020,Inativo
91,100,Realzinho com 100 Folhas ,88,CORTE DE A4,10,01/08/2020,Inativo
92,76360,Bobina de 76mm por 360 metros ,123,2,CORTE DE BOBINAS,14,08/08/2020,Inativo
93,57250,Bobina de 57mm por 250 metros ,114,4,CORTE DE BOBINAS,13,01/10/2020,Inativo
95,5731,BOBINA OFFSET 57MM X 30M - CAIXA C/ 30 UN.,55,CORTE DE BOBINAS,6,25,01/10/2020,Inativo
96,224,5710 AMARELO,40,0048,CORTE DE BOBINAS,4,546,01/11/2020,Inativo
97,226,5716 AMARELO,40,0048,CORTE DE BOBINAS,4,546,01/11/2020,Inativo
98,227,5720 AMARELO,74,8,CORTE DE BOBINAS,8,5,01/11/2020,Inativo
99,228,5730 AMARELO,75,152,CORTE DE BOBINAS,8,54,01/11/2020,Inativo
100,229,5740 AMARELO,76,56,CORTE DE BOBINAS,8,7,01/11/2020,Inativo
101,230,5750 AMARELO,79,2,CORTE DE BOBINAS,9,01/11/2020,Inativo
102,231,5780 AMARELO,83,072,CORTE DE BOBINAS,9,44,01/11/2020,Inativo
103,232,57100 AMARELO,83,6,CORTE DE BOBINAS,9,5,01/11/2020,Inativo
104,233,57150 AMARELO,102,08,CORTE DE BOBINAS,11,6,01/11/2020,Inativo
105,234,57200 AMARELO,114,4,CORTE DE BOBINAS,13,01/11/2020,Inativo
106,235,57270 AMARELO,118,8,CORTE DE BOBINAS,13,5,01/11/2020,Inativo
107,236, 57300 AMARELO,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
108,237,57360 AMARELO,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
109,238,7620 AMARELO,44,CORTE DE BOBINAS,5,01/11/2020,Inativo
110,239,7630 AMARELO,77,CORTE DE BOBINAS,8,75,01/11/2020,Inativo
111,240,7640 AMARELO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
112,241,7680 AMARELO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
113,242,76110 AMARELO,96,8,CORTE DE BOBINAS,11,01/11/2020,Inativo
114,243,76360 AMARELO,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
115,244,7620 BEGE,44,CORTE DE BOBINAS,5,01/11/2020,Inativo
116,245,7630 BEGE,77,CORTE DE BOBINAS,8,75,01/11/2020,Inativo
117,246,7640 BEGE,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
118,247,7680 BEGE,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
119,248,76360 BEGE,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
120,249,8020 AMARELO,44,CORTE DE BOBINAS,5,01/11/2020,Inativo
121,250,8030 AMARELO,77,CORTE DE BOBINAS,8,75,01/11/2020,Inativo
122,251,8040 AMARELO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
123,252,8080 AMARELO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
124,253,80110 AMARELO,96,8,CORTE DE BOBINAS,11,01/11/2020,Inativo
125,254,80360 AMARELO,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
126,255,8020 BEGE,44,CORTE DE BOBINAS,5,01/11/2020,Inativo
127,256,8030 BEGE,77,CORTE DE BOBINAS,8,75,01/11/2020,Inativo
128,257,8040 BEGE,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
129,258,8080 BEGE,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
130,259,80360 BEGE,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
131,261,80110 BEGE,96,8,CORTE DE BOBINAS,11,01/11/2020,Inativo
132,264,76110 BEGE,96,8,CORTE DE BOBINAS,11,01/11/2020,Inativo
133,265,8020 BRANCO,44,CORTE DE BOBINAS,5,01/11/2020,Inativo
134,267,8030 BRANCO,77,CORTE DE BOBINAS,8,75,01/11/2020,Inativo
135,268,8040 BRANCO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
136,269,8080 BRANCO,88,CORTE DE BOBINAS,10,01/11/2020,Inativo
137,270,80110 BRANCO,96,8,CORTE DE BOBINAS,11,01/11/2020,Inativo
138,271,80360 BRANCO,132,CORTE DE BOBINAS,15,01/11/2020,Inativo
139,272,7630 OFFSET,52,8,CORTE DE BOBINAS,6,01/11/2020,Inativo
140,10,CALCULADORA,55,CORTE DE BOBINAS,6,25,01/11/2020,Inativo
141,204,A4 MULTIUSO,132,CORTE DE A4,15,01/11/2020,Inativo
142,137,A4 SULFITE,132,CORTE DE A4,15,01/11/2020,Inativo
143,134,MICROCERRILHADO MEIO,90,64,CORTE DE A4,10,3,01/11/2020,Inativo
144,22,MICROCERRILHADO DANFE,90,64,CORTE DE A4,10,3,01/11/2020,Inativo
145,711,A4 ITABEL,132,CORTE DE A4,15,01/11/2020,Inativo
146,274,A4 TOP,132,CORTE DE A4,15,01/11/2020,Ativo
147,222,A4 BRISA,132,CORTE DE A4,15,01/11/2020,Inativo
148,208,A4 RECICLADO,88,CORTE DE A4,10,01/11/2020,Inativo
149,170,A4 2º LINHA,105,6,CORTE DE A4,12,01/11/2020,Inativo
150,23,A4 REALZINHO,88,CORTE DE A4,10,01/11/2020,Inativo
151,1,Impressão de 01 Cor ,33440,IMPRESSÃO,3800,01/12/2020,Inativo
152,2,Impressão de 02 Cores,16720,IMPRESSÃO,1900,01/12/2020,Inativo
153,3,Impressão de 03 Cores ,7920,IMPRESSÃO,900,01/12/2020,Inativo
154,4,REBOBINAMENTO,37840,IMPRESSÃO,4300,01/01/2021,Inativo
155,226,5716 AMARELO,55,3344,CORTE DE BOBINAS,6,288,15/01/2021,Inativo
156,288,5720 WLE,42,CORTE DE BOBINAS,4,8,01/01/2020,Inativo
157,10,CALCULADORA,70,4,CORTE DE BOBINAS,8,01/01/2021,Inativo
158,293,PAPER+ A4,105,6,CORTE DE A4,12,25/03/2021,Ativo
159,294,A3 SULFITE,88,CORTE DE A4,10,13/04/2021,Ativo
160,226,5716 AMARELO,90,0064,CORTE DE BOBINAS,5,114,01/06/2021,Inativo
161,249,8020 AMARELO,211,2,CORTE DE BOBINAS,12,31/07/2021,Inativo
162,251,8040 AMARELO,325,6,CORTE DE BOBINAS,18,5,31/07/2021,Inativo
163,252,8080 AMARELO,325,6,CORTE DE BOBINAS,18,5,31/07/2021,Inativo
164,250,8030 AMARELO,281,6,CORTE DE BOBINAS,16,31/07/2021,Inativo
165,255,8020 BEGE,211,2,CORTE DE BOBINAS,12,31/07/2021,Inativo
166,256,8030 BEGE,281,6,CORTE DE BOBINAS,16,31/07/2021,Inativo
167,257,8040 BEGE,325,6,CORTE DE BOBINAS,18,5,31/07/2021,Inativo
168,258,8080 BEGE,325,6,CORTE DE BOBINAS,18,5,31/07/2021,Inativo
170,204,A4 MULTIUSO,140,8,CORTE DE A4,16,30/07/2021,Ativo
171,137,A4 SULFITE,140,8,CORTE DE A4,16,30/07/2021,Inativo
172,236, 57300 AMARELO,352,CORTE DE BOBINAS,20,01/10/2021,Inativo
173,237,57360 AMARELO,352,CORTE DE BOBINAS,20,01/10/2021,Inativo
174,309,5722,239,36,CORTE DE BOBINAS,13,6,01/09/2021,Inativo
175,137,A4 SULFITE,120,56,CORTE DE A4,13,7,21/11/2021,Ativo
176,251,8040 AMARELO,281,6,CORTE DE BOBINAS,16,30/11/2021,Inativo
177,252,8080 AMARELO,281,6,CORTE DE BOBINAS,16,30/11/2021,Inativo
178,1480,Impressão de 01 Cor 480,16051,2,IMPRESSÃO,1824,01/01/2022,Ativo
179,2480,Impressão de 02 Cor 480,8025,6,IMPRESSÃO,912,01/01/2022,Ativo
180,3480,Impressão de 03 Cor 480,3792,8,IMPRESSÃO,431,01/01/2022,Ativo
