Setor,Data,Disponibilidade_Real,Desempenho_Real,Qualidade_Real,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Real,CapacidadeInstalada_Real,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Real,HorasParadas_Real,HorasReais_Real,DescartesCaixas_Real,DescartesTampas_Real,DescartesEmbalagens_Real,Refugo_Real,SegundaLinha_Real
CORTE DE A4,02/09/2019,100,84.0,100,84,2550.0,13200,84.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,03/09/2019,100,68.0,100,68,5050.0,10700,68.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,04/09/2019,100,50.0,100,50,7950.0,7800,50.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,06/09/2019,76,52.0,100,39,5800.0,6200,39.0,15750.0,3750.0,0.0,52,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,09/09/2019,76,54.0,100,41,4867.0,5800,41.0,14000.0,3333.0,0.0,57,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,11/09/2019,100,90.0,100,90,1400.0,12600,90.0,14000.0,244463.45329249618,0.0,44,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,12/09/2019,100,106.0,100,106,-900.0,14900,106.0,14000.0,244463.45329249618,0.0,44,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,13/09/2019,77,77.0,100,60,2694.0,9100,60.0,15288.0,3494.0,0.0,91,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,16/09/2019,100,90.0,100,90,1650.0,14100,90.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,17/09/2019,100,90.0,100,90,1650.0,14100,90.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,18/09/2019,100,95.0,100,95,750.0,15000,95.0,15750.0,244463.45329249618,0.0,62,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,19/09/2019,100,147.0,100,147,-6738.0,21200,147.0,14462.0,244463.45329249618,0.0,81,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,20/09/2019,89,106.0,100,94,-700.0,13100,94.0,14000.0,1600.0,0.0,70,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,23/09/2019,100,108.0,100,108,-1100.0,15100,108.0,14000.0,244463.45329249618,0.0,44,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,24/09/2019,100,106.0,100,106,-800.0,14800,106.0,14000.0,244463.45329249618,0.0,44,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE A4,25/09/2019,100,105.0,100,105,-700.0,14700,105.0,14000.0,244463.45329249618,0.0,44,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
